1|1 2955327595825165120 + 961073645789724358 + 7134098117672289440 + 7331736017802378665 + 5583587567647733193
1|2 2253152807003958767 + 6573272678439579935 + 5125357868367086204 + 1247730935746677327 + 3100220146093995135
1|3 3052527746967142 + 5136635047253904779 + 5594397099310802896 + 3222392715277037482 + 4891964112533739950
1|4 6180813890040514477 + 3210101521776715994 + 5949349833785737873 + 5670274374852977062 + 6153362772922564820
1|5 6696054964164724807 + 6566131259753507461 + 5847437079102078738 + 6679529441307749480 + 3122749418265331077
1|6 7856147382443176478 + 7823997975126098859 + 3760059824317698100 + 5545018953119137491 + 5810173251633572810
1|7 3129099090112932207 + 4434649279220442590 + 1611950475035522410 + 8640156508753132398 + 1411158124654307513
1|8 4161266523728817543 + 615870369148568512 + 2076458389195767347 + 610892808994720457 + 8676007410060953076
1|9 8310539745711602541 + 3909725758255468693 + 3245633998129918943 + 3816338051030102178 + 3197103662035011232
1|10 1635306253032654261 + 8407238651500643322 + 801087921110555055 + 6421599485170286975 + 8120817365002884847
1|11 6880505415372603936 + 605731878136147506 + 6181972374975899180 + 115985212942351438 + 4560920941193611002
1|12 7414591098387343266 + 7381374765589607310 + 8675863541276077358 + 8849605956761463942 + 80781815737806148
1|13 8308792853263559550 + 9101847217257153312 + 4883413617860585834 + 7160980532280153408 + 76768047786190181
1|14 7697640407930050646 + 8540098470028297060 + 2881788862618671628 + 7483045478039275906 + 4906649070681927240
1|15 4114446816347599883 + 689831892211625439 + 5115506685019537894 + 8777315534190472655 + 6344984650624673035
1|16 391983359104925420 + 4878603759500070198 + 5981701445995794832 + 23468847383849271 + 2225823476625655070
1|17 4199079756386433294 + 338427002262077783 + 1829772907676395020 + 501241128176501355 + 7441359510133824582
1|18 6447052740831001342 + 6873185599545734274 + 7878044605138219857 + 4219713450056865409 + 2060092881434824166
1|19 7251470166697746119 + 7713620748888196399 + 6344395275726240399 + 6454895094966777061 + 6081381999711031590
1|20 2554271801047671954 + 610711745820927091 + 6839232974537208750 + 2213058782715791265 + 1039125908320592349
1|21 3071846167351540019 + 4305017292054393284 + 6332720779609247463 + 7401237116447782662 + 2364829214755344734
1|22 1799738964843285867 + 6401206648242090135 + 3655310742793974314 + 3565086291536671634 + 4934980455426768998
1|23 1045648028981837366 + 7744082396181853982 + 3212701409576889996 + 4826163130375140761 + 8736867154965670315
1|24 8804996688413375596 + 4849659089884979021 + 7964161934962546218 + 3883306211007337021 + 5196177753201906916
1|25 8857696885236515982 + 6297731487701199225 + 5422898811007482194 + 5694140649173709361 + 5875206253064938426
1|26 2523539446214735013 + 1409319666462587520 + 5103355933797632552 + 4625843253479982510 + 4175512738426237638
1|27 3115570502874640817 + 4970807115375073154 + 124873190799833954 + 7397086959952255360 + 5628885711305547874
1|28 8765810288370197289 + 8540340717578472939 + 8478056125692374014 + 4420845054039341829 + 8111927536656923620
1|29 631738827634230092 + 2201428208526405900 + 2051030475663686003 + 5645190397379965754 + 2021167996342843715
